,Altruism,Autonomy,Care for others,Competence,Courage,Duty,Empathy,Fairness,Gratitude,Honesty,Indignation,Justice,Love,Loyalty,Generosity,Nobility,Obey rule,Zeal,Respect,Dedication,Sanctity,Self-improvement,Self-control,Social contribution,Temperance,Warmth,Encouragement,Honor,Benefit others materially,Benefit others physically,Benefit others spiritually,Moral Flexibility,Deserved Reward,Gratification,Moral Imperative,Pro-environment,Self-discipline,Self-Identification,Uphold order,Moral Urgency
Adhere to female chastity,-1.546098755,1.801855537,-1.060060905,-2.547755874,-1.436618254,-0.50147087,-0.664546809,-0.852625024,-0.479945295,-1.716344637,-1.665294455,-1.968890517,-0.736676686,-1.541568003,-1.756456423,-1.076854667,-0.853320957,-2.384688517,-1.835467964,-1.992197833,-0.087011254,-1.297275186,-1.260711653,-1.54497774,-1.450857524,-0.302826871,-0.973293843,-2.091342347,-1.823824744,-1.563458535,-1.38092832,-2.035933815,-1.548191347,-2.31001601,-2.105265278,-1.671487407,-2.105107491,-1.884228764,-2.048251428,-2.445515614
Adhere to principle,-0.904849901,-0.166483422,-1.652985658,0.365905003,0.605968193,0.95354958,-1.399005141,1.446933361,-1.123439018,0.436563051,-0.368460925,0.39487934,-0.815050142,1.042314427,-1.454471939,-0.428349665,1.590301911,-1.574624949,-0.662568931,-0.283879597,1.763482494,0.752346212,1.828561261,-0.084090632,0.563478671,-1.577096671,0.512340377,-0.307766371,-1.541862261,-0.463226376,-1.396111919,-2.473428145,-0.192619551,-1.196340882,1.332653154,-0.744765725,1.699132397,0.721605825,1.222526308,-0.439088831
Adopt orphans,1.718142458,-2.268078066,1.185048042,-0.40145435,-0.497680644,-1.323569102,0.728115799,0.555590037,1.28090756,-0.098252943,-0.16126893,0.917551571,0.838543666,-0.276716114,2.389612899,1.021443392,-0.48400916,0.88122388,-0.507250548,1.062148239,0.086801726,-1.241998127,-1.108459775,0.022514995,-0.692413311,1.381591821,-0.752593227,0.611432165,1.764164383,1.54810067,0.635364336,-0.266776668,-0.085956342,-0.616826676,-0.305246731,0.297558019,-0.993445918,-0.453023381,-0.524957289,0.129932605
Advocate for equal right,0.831081855,0.781554541,-0.193295403,0.877634685,0.64173459,1.05648486,0.667026148,2.439224001,0.110035436,1.150977515,0.66153443,1.634486431,0.504571306,0.784092136,0.589359046,0.969392587,0.906554793,0.612546687,1.294115711,0.515641003,0.841746993,0.090911312,-0.043725354,0.932563029,-0.266964561,0.44413623,0.942095889,0.776840642,1.089270447,0.570612464,0.47374832,1.529232241,0.325058061,0.89853414,0.855322331,0.578624877,0.844020683,1.429165088,1.091530597,0.507123799
Aid disaster areas,1.076612247,0.569406185,1.056847149,-0.303341472,0.551099288,-0.388393438,1.129734897,0.558006329,1.425786115,-0.33212015,-0.122969804,0.760137613,0.733579215,0.351951491,2.512396238,1.043131227,0.017941232,1.185822443,0.05451152,0.946524509,0.249751395,-0.457356212,-0.849348681,1.113792594,-0.890308342,1.152027415,0.130872002,0.490959658,1.800576076,1.713526043,1.01048855,-0.995852956,0.329968282,-1.685616077,-0.468702454,0.851661254,-0.522351975,-0.588226456,-0.507165755,0.967153469
Appreciate fine art and music,-2.782997962,-1.936596261,-2.23787378,-1.14329777,-1.744109226,-2.194593197,-2.636567431,-2.061068486,-2.720467359,-2.001813059,-1.946618131,-2.197886636,-2.157601365,-1.765604052,-0.902271741,-2.424889176,-2.046482144,0.058854885,-2.534680962,-1.862517805,-1.785030369,-1.301281955,-2.154202278,-2.346302892,-2.09148516,-2.644186815,-3.340570691,-2.396639136,-1.760994039,-2.177258003,-2.804390742,-1.794486473,-2.316290243,0.132827291,-2.683663597,-0.922378674,-1.739375308,-2.985719194,-1.60485495,-1.929491079
Serve as an honest official,-0.606386983,-0.604039404,-1.810146436,0.944799206,0.3673588,2.131483163,-1.569399474,1.23847137,-0.456533361,1.067715892,-0.352450635,1.4490185,0.675900525,1.462506483,-1.208052601,0.817306643,2.049657339,-1.11351184,-1.085034933,0.215474964,1.314431866,-0.179386605,2.382492213,1.100531894,2.258665368,-1.771471245,1.240671347,1.540752124,-1.397584347,-0.937464375,-0.690074557,-1.278986079,-0.097220967,-1.184859695,2.150934566,-1.147355076,1.135772852,0.82956884,1.883677438,-0.450488984
Attend to small needs,0.085562303,0.025776025,0.385937313,-0.336923732,-1.052292055,-0.595020874,0.523072314,-1.285624576,-0.21304925,-0.306100892,-0.40581827,-1.368327693,0.189737762,-1.037403917,0.077193362,-0.496162879,-1.447047098,-1.300449587,-1.21844525,0.709296511,-1.598657476,-1.11000643,-0.961865905,-1.127265692,-0.925591952,0.499296582,-1.908454713,-0.732236029,-0.44193709,0.224418724,0.218663853,-0.591377066,-0.288719596,-1.339414134,-0.633495238,-0.791432656,-0.823829216,-1.025432054,-1.299312597,-0.267415952
Dedicate oneself to one's job,-0.173360656,0.05229457,-0.41415392,1.470921285,0.133573047,1.214347788,0.533354731,0.70540015,0.007022928,1.31229691,0.346665384,0.605581003,0.903137174,1.490386524,-0.140235466,0.789654653,0.770590721,1.447535289,1.460878606,0.883586469,0.803498105,1.782294843,1.031296357,0.755753696,0.601465167,-0.043113547,0.705488922,0.37379532,-0.338770625,-0.079093596,-0.068306171,0.298469891,1.920879968,0.638882683,1.275828056,1.012557691,1.46642531,0.667178189,0.79867631,-0.342522836
Evaluate facts without bias,-0.907440725,-0.451557774,-1.338217623,-0.853950616,0.286321647,0.521780331,-1.334510519,0.364145352,-1.526458736,1.528907227,-0.503547751,-0.282291518,-0.956493363,-0.339241208,-0.379407177,-0.558379856,1.036326666,-1.520101439,-0.712945223,-1.138903249,-0.320382529,0.747894247,1.296787548,-0.582748202,0.604701886,-1.425857164,0.073480729,-0.484140543,-0.75381203,-0.8841126,-1.296232305,-1.320878225,-0.185604949,-1.323572304,0.771505311,-0.749989635,0.433136379,-0.762327971,-0.320831214,-0.648231329
