,Perpetrator Capacity,Aggressiveness,Anger,Autonomy violation,Betrayal,Callousness,Challenge authority,Coldness,Contempt,Vice Investment,Deception,Deliberateness,Lust,Disgust,Disrupt social order,Fairness violation,Guilt,Harm to life,Harm to others,Harm to property,Harm to society,Harm to the environment,Harm to the self,Hate,Hedonism,Impulsivity,Injustice,Irresponsibility,Norm violation,Oppression,Perceived harm,Psychological harm,Self-indulgence,Selfish,Sense of dirtiness,Sexual relevance,Shame,Premeditation,Risk,Unjust-gain
Abuse,-1.14707522086845,1.70312395494205,0.846762917720779,0.558574419190805,0.725698649491958,1.43210534777888,-1.17487654954863,1.39796543053691,0.340398293230534,-0.581019295540299,-0.887396279313949,-0.394618441745078,-0.244560679305105,0.30516971196487,0.396066937118212,0.157369604499592,0.437041356763468,0.436038497640007,0.858812620757333,-0.347620457118962,0.202843697728631,-0.134921245085587,1.21633866382548,1.64871576763604,0.035821189736243,0.793746998669052,0.664614653392727,0.937185377138365,0.733234253483939,1.90996660118052,-0.633654862845258,1.53567573903865,-0.184737451292546,-2.28887131732146,-0.023631494856968,0.653945318636801,0.276867067118234,0.109744052813219,-0.199538962012035,-1.26601999378059
Arson,1.08123036017782,0.747229257568344,0.988112565490175,1.41860405319841,-0.149477041287952,0.123025639791106,0.899110102947902,1.14929127870248,0.358941535221629,0.933500625806369,-0.0012367981248251,0.854877046471112,-0.344715213182017,-0.0823883940334834,0.69161665676482,0.916322769443897,0.32242688436184,1.16156012432887,0.546864374522275,2.23310776817761,0.254465376057011,2.26555181021958,0.0662632492299817,0.663106525616451,0.0596913739229888,1.00877095516559,0.319156901611907,1.04204202052779,1.29112730434089,0.302949136618534,1.20843065748755,0.278478794058773,-0.0159195299797925,0.0369289782524341,0.823074744369448,-0.312464651968274,-0.813509766115077,0.427391424747052,1.41539540060816,-0.0646716543293428
Be arrogant,-0.205537651412282,-0.0429770255939218,-0.786610789836691,-1.68788229722563,-0.809567180943985,-0.273876186566889,0.382662833749161,0.161315594387298,-0.132454377542393,-0.434203588879143,-0.5622586279424,-1.55155870861192,-0.311330368556379,-0.712170316280807,0.161142800988858,-1.05429246585009,-1.69151313069535,-0.747707314326033,-0.681829738199484,-0.456665311708958,-0.571481477197067,0.955369951789659,-0.29608927865627,-0.652844275541576,-0.529106502683407,-0.580017167836613,-0.909137326942119,-1.15994749065012,-0.823492814771306,-0.54666255571137,-1.51334468275929,-0.0696680522433461,0.819729180518338,-0.499187700049345,-0.694894098928361,0.487936243931635,-0.884428584536756,-0.836969683146443,-0.832418644660489,-0.54521099010984
Be jealous,-0.911690828504411,-0.297882278226911,0.0379288221514547,-0.26438497197165,0.377111721808435,0.220510298896578,-1.06830806542825,-0.786334551792566,-0.837097573204009,-0.921013563597715,-0.587759620206835,-0.949949769841162,-0.236214468148696,-0.696022061864209,-1.33934039106315,-0.0889572999121564,-0.4553141783635,-0.964090957373588,-0.0261017920319132,-0.863766102178276,-0.247002356275822,-0.171569688678032,-0.107035785846052,1.20871164173444,-0.918986177733587,0.0570908514123911,-1.03196674979752,-2.49978237840387,-1.06846001840538,0.0263313763250772,-0.513355400292911,-0.0632208884229366,0.693115739533773,-0.712057557610346,-1.70941598917262,-0.17610005488903,-0.671672129271719,-1.0798764969782,-1.14522124642926,-0.623438323841549
Be lazy,-1.68061317689362,-1.71897906165583,-1.3677148973331,-1.05768816885798,-1.58832521087526,-1.0955325990273,-1.80608987856931,-1.71382192890477,-1.88479074570089,-1.50054924778649,-1.82455774503194,-0.774094849277402,-0.403138691276882,0.030649386882703,-1.84707965302014,-1.26733195074674,-1.06932028051508,-1.46050049142386,-1.90415756018175,-0.994619927686272,-0.822215343363483,0.8271003992161,1.01940794214817,-0.612228510073736,0.218825935167961,-1.33658294069481,-1.84571167621456,-1.61765506100078,-1.48727491494106,-1.55434153963754,-0.302831340826304,-1.74593064554985,1.29241936019405,-1.31124678630057,1.27312580846277,-0.751202920831928,-0.937617698353015,-1.85219559736634,-2.29458894595174,-1.0425133259757
Be rude,-1.31969044193542,-0.113075970067994,0.846762917720779,-1.36166416018826,-1.67732612858169,-0.322618516119625,-0.912554127098473,0.268850362748134,-0.484775975373201,-1.45418639305139,-1.26353591521437,-2.70849897547876,-1.02910452800758,-0.268093319824361,-0.899804910563066,-1.353879241486,-0.905585319941328,-1.11046812767046,-0.879184751123704,-1.40899037512826,-0.26912593270227,-0.556378346398707,-0.800231926150187,-0.693460041009416,-1.50778405433998,0.574741117052207,0.250065351255743,-0.968542506685298,-0.823492814771306,-0.434698224164018,-1.2727457576546,-0.656359959900622,-1.23984945949726,-1.02742030955257,-0.893221686494909,-0.484402622198625,-1.43404942730477,-1.62797392306011,-1.42165145264353,-0.841357324951309
Be tardy,-1.46876722376598,-1.08171593007335,-1.08501560179431,-1.90288970572753,-0.624148602388919,-0.566330163883306,-1.38801351778938,-1.3576130087095,-1.83843264072315,-2.03372207724016,-1.74805476823864,-2.69924345334383,-0.853834093722984,-1.83447399823437,-0.657302576494055,-1.86650550201856,-1.90436857944124,-0.80498533748568,-0.98104540295556,-0.93646267190494,-2.12750635252395,-1.17023977657216,-0.603301204472876,-1.44079012561768,-1.18155820378779,-0.723366472167639,-1.47722340764836,-1.16494066414485,-1.24072727773515,-1.52799699103816,-1.86672435400681,-1.68145900734575,0.136016599201686,-0.373042599272456,-1.82383575123025,-0.685985070054898,-2.38258862369472,-1.82728207799898,-1.39982801531083,-1.12632832640253
Bestiality,0.767384503692429,1.08497871730705,0.619032929647862,1.11462806186814,0.384528464950637,0.854160583082149,0.259699198225652,0.86029158873273,0.192052357301773,-0.967376418332817,0.521533543296097,1.40095285243226,0.514944535928141,1.35480624904374,0.191455592747484,0.297176766463017,0.76451127791098,1.01518295403199,0.540498083782784,0.197603815831018,0.0996003410718711,1.98152637237812,1.64958625151556,0.354426708060864,1.83404173180442,1.67773437537704,1.2250238951705,-0.0264971073453908,1.30060990577189,0.013159102025389,1.29865525440181,1.02634979722629,1.4612372815068,0.178842216626435,1.92150446012264,2.45632955829289,1.90799989081684,0.352650866644974,0.586104781965355,-0.785480658000088
Binge eating,-1.6099978591844,-1.7635874808666,-1.27348179882017,-1.51735918013791,-1.38065640289359,-2.20964298880413,-1.80608987856931,-1.86840315842347,-1.40266645393241,-0.0710278934541762,-0.759891317991773,-1.12580469040492,2.05064738870745,-0.251945065407763,-2.02137820563224,-2.26595453619977,-0.0296032808717349,0.0159996611359282,-2.03148337497157,-1.62708008430825,-2.03163752134267,-0.913700671425049,1.85439420205997,-1.39746664245198,-0.194923924068966,1.16207507229738,-1.29297927336525,-0.835391213492378,-2.19056785440662,-1.06038125339922,-1.54341954839738,-0.153481181908671,1.51188265790063,-0.696289420013235,-0.160935209326117,-0.644482801378607,-0.166375548017258,-1.16084543492212,-0.388675418895481,-1.30513366064644
Bribe,-1.12353678163205,0.307517696776438,-0.0013349688955999,-0.353353554800023,0.614447502358918,0.50600108627689,-0.215760192465252,-0.638474245296416,1.27683201378084,1.98439199980202,1.36306628802246,0.521678249613461,0.731946025994783,-0.68794793465591,0.699194854704476,0.849747930413695,0.232372656046274,-0.836806461463262,-0.261654549393079,0.437502495929009,0.844427414095638,-0.721296342564711,0.192298911103461,-0.0740696176248515,0.266566303541452,-1.04291596307222,0.284611126433825,-0.797942412281869,0.717429917765612,-0.046116132323209,-0.37425914671676,-1.01740113384356,-0.429523437196039,1.16435081644588,-0.481310543087463,-0.567407159551208,0.640326011529338,0.421163044905213,1.09531831972848,0.874056350451163
