,Perpetrator Capacity,Aggressiveness,Anger,Autonomy violation,Betrayal,Callousness,Challenge authority,Coldness,Contempt,Vice Investment,Deception,Deliberateness,Lust,Disgust,Disrupt social order,Fairness violation,Guilt,Harm to life,Harm to others,Harm to property,Harm to society,Harm to the environment,Harm to the self,Hate,Hedonism,Impulsivity,Injustice,Irresponsibility,Norm violation,Oppression,Perceived harm,Psychological harm,Self-indulgence,Selfish,Sense of dirtiness,Sexual relevance,Shame,Premeditation,Risk,Unjust-gain
Abuse,-0.191617808722594,1.1393951569138,0.88294377220065,1.68518386898211,-0.900211418898402,0.582515631483289,-0.650700681056354,1.59442022263631,1.02520728656432,0.0375414115336049,-1.13253740881911,0.603242156847451,0.37421917334914,0.806917249893557,0.0454914888918786,0.67983750739423,0.478904939157396,1.32928207791703,0.901336287562902,-0.502432772578345,0.363077012302003,-0.895896914943278,-0.612610787601069,1.49770916266335,0.578673517611025,0.406806990841138,0.991209034526514,0.947891487374142,0.818741905774533,0.488878120977879,0.405516480024596,1.06787721643671,-0.321025852924381,-0.496458547327503,0.470521267606797,0.0507250062272434,-0.122289566622088,-0.0290544689330859,0.101371802139354,-0.859015758906007
Arson,0.211560601398999,1.43878224577652,0.768003583055958,0.383105834740199,-0.0243502513855514,0.150601054179531,0.543281314599521,1.21983543887208,-0.411422699859095,0.816024102795111,-0.886849533443955,0.284916137541165,-0.53637477869772,-0.148849806605852,0.986134257272667,-0.426460694149989,0.82502511322427,1.89828150123322,0.88837498825897,1.09183965918815,0.974643830722011,2.64270200094167,0.795457104879706,1.56348119173974,-0.962439667419596,0.999701576641261,0.351071956991532,0.794791498089312,0.871241180059088,-0.554765088666068,1.6461755237666,0.389724417413863,-0.0716055876195099,-0.907681486713523,0.493749472944221,-0.972565340955088,0.669667289584812,0.411568617809006,1.1038953965598,-0.937139573037714
Be arrogant,-0.662495964363982,-1.31866788616945,-1.62164938974264,-1.50875754565699,-1.282110480154,-0.880883253811404,-1.46703764090164,-0.752275071321014,-0.149428583977529,-0.798928817252036,-0.241330527549269,-0.765193834193369,0.0206709251752652,-0.519045473620761,-1.59753750674744,-1.58656915860934,-0.992549544439723,-1.58885892235865,-1.5977942374841,-0.867528061065132,-1.53676351020736,-1.09279436028905,-0.772758491907719,-1.2806370655834,0.0203824259093038,-1.32768068632378,-1.81697125034405,-1.69122907990739,-1.91735532968777,-0.960147161833551,-1.72804111792567,-0.838274881826814,-1.2571216634513,0.0485016900735697,-1.62259812446548,-0.635811225929421,-0.690683601962249,-0.742730347307777,-1.62912535669429,-0.643451901394446
Be jealous,-1.50987530698533,-0.266120301336391,-0.95707885799917,-0.819216221071887,-1.27875596137271,-0.176490098924694,-1.6199191337053,-0.809368170578009,-0.437578734938,-1.50800767453934,-1.24479135187845,-0.826137716481534,-1.39680889440302,-1.04353905261267,-1.81406118769976,-1.63174045158963,-1.00408688357529,-1.20266152382845,-1.25455982999109,-1.14790605907602,-1.45870672998277,-1.15247311184663,-1.32426714861374,-0.201177874092132,-1.31756039735676,-1.38438509115417,-1.10439760877221,-2.20311219664857,-2.08320073829932,-1.65393270460822,-0.893245053369236,-0.272719422540712,-1.67343795813301,-0.975544822918379,-0.957432655511314,-0.942141995129571,-0.604888275873168,-1.2678061923421,-1.71700216554131,-1.53143858768248
Be lazy,-1.11556012522499,-1.23459569399675,-1.8021930673885,-1.24414168708524,-1.33369922861672,-1.02082395622943,-1.15343266372403,-1.28196155071534,-1.15316100806684,-0.651029081599447,-0.848541378962671,-1.65653850494456,-1.02897009456488,-1.86562361992596,-1.506336486453,-1.50671308741322,-1.22229308026962,-0.993440020547043,-1.49265326285679,-1.06569435392013,-1.16891162121684,-0.180496601732493,-0.441844594204522,-0.904467064121945,-0.251341914624004,-1.12883039789141,-2.29303108747927,-1.55080865478325,-1.802276239652,-0.72370553636445,-2.14723349179607,-1.22947106167596,-0.425011209908972,-1.21499379327227,-1.52493305917356,-0.500699343752728,-0.937112024995287,-1.01989039630362,-1.33757420493427,-0.969488978475273
Be rude,-1.18401050959118,-0.863361902297425,-0.807373615433253,-1.29174453995,-1.73219105721061,0.2874674916628,-1.73844523486768,-0.984863574140279,-0.3073190776545,-1.30400026908725,-1.33840690439209,-1.58808488869893,-2.00430024565085,-1.44897937559681,-1.51897724183686,-1.57529705614086,-1.80477821958332,-1.67464723768264,-1.34068046314388,-1.40047055968422,-1.75730247170043,-1.05588380470385,-1.83293629441774,-1.6360499778058,-1.46957915003351,0.0905250689405302,-1.06396789861211,-2.42652336787332,-2.18725102411452,-1.02742333567837,-0.811645233343505,-0.233417385324615,-0.957694174584074,-1.73012736548556,-1.18239782420426,-0.394595793009512,-2.03123557210414,-1.64013270063917,-1.47410165288211,-1.41133872421176
Be tardy,-1.38424068630325,-1.39712631215554,-1.34619928999943,-1.38099988907142,-0.890302686498256,-1.2292818811026,-0.798481719562499,-1.36852920114728,-1.22759509794312,-0.87808180597248,-0.743672806070157,-1.41684744383072,-1.62977346763384,-0.997585271384915,-1.63102220982408,-1.42411827009305,-1.10792293579535,-1.56666194566643,-1.65146361756482,-1.47942500392408,-1.38811293947722,-0.699616702968498,-0.723112703572658,-1.85554574830952,-0.919111245604039,-1.41940840002,-0.0599634296361925,-1.48045367889631,-2.07294225941613,-1.06853655302798,-0.346398091940254,-1.86920413690701,-0.462918270520041,-1.51789320425937,-1.8990653862149,-0.807228150600165,-1.1475437133866,-0.970118564496195,-1.56062651082379,-1.18242354820044
Bestiality,0.218755457362835,0.362246654815512,0.488950931335691,0.267598912347772,-0.456504210686009,1.55886034824556,-0.696870596519962,1.38037177477104,1.15748012418899,-0.460810308012045,0.0363488217943335,0.458930056817117,1.65703996521575,0.68152414961918,0.0119252010879364,-0.0808268894205283,0.0078056253143394,1.08130680326442,-0.778803902599708,-0.836389610462512,-0.434068702742008,1.81237788557888,0.0699010463410942,0.193873764837364,1.34676826797772,1.76708729054079,0.603757645492183,0.0589595177738621,0.871668616679221,1.49015662084775,0.349122887127232,1.13594356072366,1.66651132001483,0.170793479237386,1.71719271171652,1.93846161075151,1.16085523679843,0.132821499297832,-0.159475196067187,-0.670161832867735
Binge eating,-1.05628754747488,-1.02101483600109,-1.96132568587016,-1.31764609224406,-1.40952101720907,-0.914326763803731,-1.2446047541689,-1.27913878793417,-1.3764632776957,-0.455290968551832,-0.944846652961164,-1.46780374022029,0.101227068961008,-1.63779458874269,-1.38634000350423,-1.3286792548249,-1.28024659692651,-0.454375145242714,-1.55809323638529,-0.75604499666455,-1.40701183484908,0.0430332359565523,1.0518179328498,-1.27390233046326,0.212330454049603,1.20890330549162,-1.08620423920017,-1.37953554604614,-1.60746378009144,-0.978039761260364,-1.08703394532563,-1.1541049087949,0.374756447453273,-1.05725731800107,-1.37938288980831,-0.418018477645691,-1.22234080884405,-1.06255850401587,-0.938767447585121,-0.978101147316496
Bribe,0.330475581912391,-0.583506256850983,-0.219872512282319,0.284749940218162,-0.296840392389549,-0.639840017487842,0.446557673517173,-0.880514955805957,0.186652609706307,1.29297159893112,0.921215549417464,0.733133808403466,0.570571353216119,0.576477159024083,0.651411060467339,1.1170777716975,0.0227362994897734,-0.530003142310804,-0.135927692843418,1.2947470595948,0.214754485076001,0.497970345094605,-0.0661067466546265,-0.554870316166193,0.0666103506998921,-1.13797109663386,1.79306495270191,-0.406816479996148,0.352333123217782,0.0443234893216933,0.505771756286575,-0.302260169467844,-0.424489074087883,1.10800398864772,0.715965970672239,-0.0520185558307046,0.156545243167425,0.268366114617826,0.254592904744416,0.540082547349519
