"","ability","aggressiveness","anger","autonomy violation","betrayal","callousness","challenging authority","coldness","contempt","cost","deception","deliberateness","desire","disgust","disrupting social order","fairness violation","guilt","harm to life","harm to others","harm to property","harm to society","harm to the environment","harm to the self","hate","hedonism","impulsivity","injustice","irresponsibility","norm violation","oppression","perceived harm","psychological harm","risk","self-indulgence","self-interest","sense of dirtiness","sexual relevance","shame","strategy","unjust-gain"
"Abandon children","10,0,18,1,47,60,50,32,74,63","70,14,52,16,43,10,0,100,31,78","70,95,64,13,67,95,95,100,58,98","78,30,100,100,100,60,68,100","60,95,85,96,0,100,100,0,79,93","80,95,87,89,65,100,100,100,63,86","60,11,67,65,25,0,35,0,7,33","90,94,41,94,75,60,100,100,100,85","70,92,33,91,34,85,100,100,68,84","40,2,66,19,0,75,70,92,88,71","55,30,60,58,24,25,90,100,80,85","75,90,50,71,41,70,95,100,99,64","0,0,18,3,0,35,5,93,57,16","70,85,83,66,62,65,95,100,91,74","40,26,76,23,0,70,65,100,69,66","34,95,83,100,70,100,100,100,100,96","90,88,90,74,60,100,95,100,88,96","45,12,65,36,30,75,85,100,30,59","75,94,89,93,65,100,85,100,93,91","75,0,75,61,13,0,95,0,23,79","60,40,84,71,8,90,75,86,57,25","0,0,81,3,0,100,0,0,3,16","19,25,29,72,7,0,5,61,58,15","100,73,5,100","30,61,9,1,0,50,5,2,39,41","21,18,46,100","61,69,50,83,91,89,100,100,67,45,100,14,70,0,91,49,100,79,100,82,66,38,0,100,93,100,100,96,89,67,66,95,100,35,96,100,100,51,67,50,82,100,71,71,58,93,100,40,93,75,100,72,100,92,79,100,76,0,91,97,93,100","100,96,64,100","100,61,65,100","10,48,50,19,9,75,50,0,15,71","58,49,90,69,79,76,100,100,31,77,82,0,67,100,48,5,100,94,100,100,75,76,79,100,73,100,90,96,74,100,57,90,98,15,74,100,100,72,66,45,32,100,73,81,48,100,89,66,84,8,100,97,100,43,77,100,75,0,100,64,93,100","70,94,83,84,62,100,100,100,71,97","80,7,73,64,18,80,25,100,67,72","45,64,36,7,3,80,10,70,85,62","25,52,20,92,0,90,70,73,100,98","40,17,42,36,21,70,100,0,3,58","20,10,19,3,0,50,10,0,0,0","70,78,73,81,71,100,95,100,95,72","40,57,53,80,33,50,75,20,100,16","60,33,28,39,0,80,75,75,0,31"
"Abortion","1,53,0,45,45,70,100,49,70,55,73","49,70,0,5,0,74,96,25,50,50,63","1,100,24,47,19,60,60,49,40,47,47","34,94,0,100,75,50,39,0","1,99,4,3,3,80,47,9,0,43,48","50,100,16,17,10,70,29,13,0,55,71","1,0,19,10,0,40,86,35,70,19,12","1,100,0,18,1,60,86,26,0,48,57","58,0,0,55,69,39,42,50,50,65,54","75,100,85,77,31,100,20,30,100,50,57","1,100,0,5,12,0,24,11,5,26,24","69,78,3,75,35,100,89,66,100,90,91","1,23,12,23,0,16,16,31,0,36,84","1,100,20,43,80,65,94,50,50,65,58","1,0,0,4,2,30,50,71,50,47,53","60,50,0,38,20,95,100,50,50,47,31","81,100,10,52,77,74,50,76,50,76,54","82,100,25,25,79,90,54,42,0,88,94","1,0,0,23,61,80,66,16,0,50,67","1,81,10,71,12,20,88,8,40,27,16","1,0,0,8,13,71,23,17,0,38,30","1,0,0,2,0,0,5,3,0,24,10","53,100,9,40,20,10,41,67,10,61,64","67,27,66,32,3,0","1,0,0,0,36,20,85,11,0,24,23","4,23,39,5,0,0","2,13,0,69,3,3,100,0,50,0,92,12,76,0,0,100,0,8,56,8,45,0,0,100,40,0,18,3,67,40,32,91,100,18,38,0,100,36,43,15,23,0,65,76,52,20,0,57,92,0,52,100,100,28,67,100,1,0,0,85,61,100","96,18,79,50,31,0","95,34,54,34,14,0","1,0,20,40,1,100,49,27,0,44,50","7,43,0,84,3,30,100,0,13,0,97,6,71,0,0,100,0,17,57,70,45,5,0,100,29,0,20,3,85,13,19,91,100,32,67,32,100,32,60,25,20,69,71,72,40,13,15,53,100,0,57,100,100,5,85,100,5,0,2,27,32,100","73,100,30,59,46,70,32,42,95,50,45","79,100,56,69,82,48,46,75,5,33,34","1,0,0,7,17,0,16,14,25,5,74","20,100,14,87,3,80,90,82,50,11,89","1,85,15,42,1,50,49,85,0,49,74","1,100,22,59,0,44,64,32,100,67,60","69,100,8,54,58,100,60,61,50,82,60","1,50,22,59,74,70,90,27,100,52,59","1,0,0,0,0,80,23,13,90,50,9"
"Abuse","71,11,7,20,20,0,100,0","100,66,73,100,97,100,100,88","80,27,80,60,95,72,100,84","69,96,100,12,93,25,90","23,1,67,100,56,100,87,80","89,100,98,100,96,100,100,72","0,9,50,42,8,0,74,0","86,69,58,100,97,100,100,87","72,0,47,100,96,100,0,79","13,0,11,0,60,100,100,0","47,0,72,0,82,0,76,32","70,24,86,100,39,100,100,76","9,100,42,0,35,23,100,0","30,7,89,100,97,100,75,87","2,66,71,71,15,100,100,0","80,51,86,100,98,100,100,0","6,100,87,61,96,100,62,100","7,70,50,17,97,53,100,55","100,3,72,100,98,100,100,88","1,84,25,0,16,0,71,0","20,1,77,90,11,100,75,47","0,6,21,90,5,0,0,0","5,60,88,100,5,0,100,33","100,100,92,95,78,91","0,71,98,100,18,100,61,0","85,89,96,0,60,24","71","100,51,95,100,87,80","50,86,96,100,79,62","100,100,95,100,97,100,100,80","42","91,56,93,100,98,100,100,88","20,7,55,73,62,15,100,75","82,72,85,61,8,0,50,0","6,22,97,50,19,0,100,0","21,28,79,62,60,51,30,84","50,89,38,50,64,0,100,0","52,0,91,70,98,100,100,79","39,26,53,100,37,12,100,0","0,0,25,0,4,0,92,0"
"Abuse animals","3,8,0,100,0,100,0,100,40,0","98,100,100,100,90,100,100,100,82,100","99,100,100,100,100,100,100,90,84,100","63,99,100,97,100,69,78,100","51,100,0,100,0,2,72,0,14,100","99,100,100,100,100,100,100,100,86,100","12,75,0,100,0,6,76,20,74,0","100,100,100,100,91,100,100,100,83,100","100,50,0,100,100,100,100,80,61,78","4,1,0,22,0,55,53,100,19,100","10,100,0,86,0,6,2,0,65,97","100,100,64,100,80,100,100,100,67,100","30,100,0,92,84,100,83,100,65,0","95,100,55,100,100,100,100,100,79,100","8,91,0,89,40,3,5,0,65,100","100,100,100,100,100,100,100,100,72,100","100,100,100,100,100,100,100,100,74,91","100,100,100,100,100,100,100,100,63,69","99,100,100,100,100,100,100,100,67,100","7,100,0,100,0,90,100,0,50,15","5,100,43,69,68,100,5,0,60,98","100,100,68,100,0,100,100,75,55,70","4,100,0,0,0,4,0,0,41,0","13,81,100,62,70,65","67,100,0,100,55,100,96,75,23,50","63,94,80,77,24,56","55,26,96,100,100,100,100,100,14,87,66,14,68,0,100,22,0,15,100,35,38,21,67,100,91,100,91,91,83,72,91,95,100,16,86,77,100,16,75,90,66,100,79,59,33,100,100,47,95,100,100,90,100,37,78,100,49,0,97,76,73,100","59,72,93,77,0,85","93,100,100,76,100,55","3,100,100,100,79,100,0,0,63,100","93,38,93,76,100,100,100,100,11,66,69,8,64,100,88,100,100,82,100,100,80,78,100,100,82,100,95,97,67,92,62,97,98,17,72,99,100,93,70,100,26,100,71,76,47,100,100,55,71,100,100,100,100,59,87,100,77,0,100,14,96,100","99,100,100,100,67,100,100,60,60,94","83,100,0,82,40,100,20,60,70,86","100,80,82,100,70,100,66,100,72,56","9,100,0,100,15,100,1,100,47,17","51,100,72,100,62,100,100,70,92,100","9,100,0,53,0,0,0,0,2,0","100,100,100,100,99,100,100,100,69,81","17,100,0,100,60,61,20,30,40,0","6,68,0,0,10,3,0,0,26,0"
"Abuse emotionally","36,92,66,81,70,0,100,91,0","70,91,69,30,81,25,70,100,100","75,100,100,100,100,23,75,95,100","62,63,82,100,60,77,68,67","62,90,100,0,100,0,0,60,100","75,100,100,100,80,35,100,100,100","22,40,86,0,0,0,0,95,64","64,100,100,100,70,19,100,100,81","79,100,40,100,80,0,75,95,85","24,90,54,85,0,0,60,50,59","67,92,65,100,0,0,60,80,62","63,100,62,90,100,0,70,75,61","60,100,79,55,50,0,40,80,0","61,100,100,100,70,62,70,100,100","27,42,36,85,0,0,0,85,100","10,100,95,100,100,21,100,90,100","69,20,100,100,100,49,100,100,91","65,100,95,60,70,71,100,60,64","79,100,43,85,100,0,100,95,100","11,10,1,0,0,0,0,66,60","58,49,100,0,70,16,0,95,98","8,0,38,0,0,0,0,20,70","16,21,100,0,50,57,0,45,0","50,49,89","50,90,59,10,30,0,25,80,50","0,2,85","45,32,45,87,100,89,100,85,99,53,36,18,58,0,68,13,0,46,100,64,42,22,0,100,11,82,79,64,61,21,43,94,100,27,76,18,100,0,34,25,45,0,74,73,25,68,100,65,53,32,100,71,95,16,71,100,35,0,100,97,78,100","0,0,83","55,5,93","51,100,95,70,80,0,100,95,100","6,13,89,49,97,69,100,95,30,63,78,5,78,50,43,19,100,65,100,55,57,64,99,100,27,50,100,48,63,76,2,98,100,16,89,26,100,51,41,45,42,78,49,67,52,67,100,46,99,30,100,72,91,11,92,100,35,0,100,67,92,100","71,100,96,100,100,88,100,100,97","3,69,84,0,20,71,0,90,79","55,100,89,60,10,0,75,90,68","40,100,55,75,70,0,25,90,69","70,100,65,30,70,0,0,100,100","1,71,100,30,0,0,25,85,77","67,100,94,100,80,13,100,80,81","57,25,17,20,0,0,0,60,43","19,61,70,0,0,0,0,80,88"
"Arson","32,50,90,100,80,5,50","48,90,100,100,100,20,50","24,90,90,100,100,95,80","83,53,100,90,80,78,95,100","35,100,30,90,50,90,0","29,95,100,35,65,60,83","44,60,80,100,80,30,40","57,95,100,100,70,90,85","33,95,95,86,20,95,5","30,70,100,100,60,95,60","35,80,70,100,70,40,0","30,100,100,100,100,100,100","34,95,80,3,45,5,60","39,60,100,100,45,30,17","81,70,85,100,50,10,5","34,100,100,100,100,95,100","36,100,100,100,100,75,0","40,85,100,100,100,95,29","32,85,100,100,75,95,50","51,100,100,100,100,100,100","81,45,100,100,85,10,31","9,35,85,100,75,60,75","31,10,100,69,30,0,50","37,50,80,75,100","41,44,100,20,85,25,65","91,45,81,60,36","54,47,45,36,36,72,100,92,49,73,75,12,69,0,0,21,0,60,100,56,39,70,0,100,90,100,100,98,100,46,66,96,100,16,89,100,100,54,83,100,38,0,39,72,83,100,100,76,91,50,100,64,100,11,85,100,63,51,100,72,76,100","100,90,60,88,100","100,95,80,78,100","47,65,80,100,0,20,16","85,40,97,81,47,88,100,100,51,68,81,0,72,100,81,34,70,100,100,100,85,99,81,100,96,100,100,90,88,99,73,86,98,22,86,100,100,53,55,100,77,100,73,76,46,100,100,50,95,91,100,92,100,100,86,100,88,91,100,10,95,100","44,90,100,50,30,95,18","49,100,100,100,100,95,100","40,44,85,0,60,5,62","52,20,90,90,60,20,80","30,51,100,100,0,96,100","43,1,70,0,0,0,0","34,16,90,100,100,5,33","49,60,90,100,100,20,50","35,10,100,100,30,0,0"
"Assault police","10,100,0,62,70,65,15,49,37,0","90,100,14,100,100,90,100,100,78,100","81,100,26,100,75,100,90,100,88,100","80,64,100,5,85,40,20","10,100,11,100,60,100,60,40,55,0","60,100,66,100,50,61,50,100,30,97","100,100,100,100,100,100,100,100,96,100","53,95,24,100,35,77,85,100,54,91","61,100,50,7,85,77,90,100,31,80","5,70,3,100,100,16,5,100,12,100","0,1,16,50,10,0,25,50,11,0","70,100,10,100,15,100,88,100,35,100","0,100,7,94,0,36,100,10,11,7","60,100,50,50,40,72,96,100,50,90","100,95,97,91,95,100,100,100,24,83","71,85,60,100,80,100,75,100,41,80","80,90,64,50,50,77,90,100,52,95","62,85,11,100,80,100,85,100,88,69","75,100,21,100,90,100,100,100,91,80","0,0,5,17,70,0,100,0,56,16","80,100,62,50,60,93,90,100,16,76","0,1,0,0,0,18,0,0,10,10","0,50,66,100,90,82,85,20,76,85","100,87,85,5","0,90,1,100,0,28,15,70,9,0","93,100,90,70","100,88","100,99,85,55","85,95,85,28","0,100,7,40,5,82,50,9,46,50","100,100","60,90,29,58,51,100,100,100,64,52","100,100,100,100,100,93,100,100,97,100","0,100,3,100,60,78,65,100,11,0","0,95,76,100,60,84,10,0,22,5","0,80,5,8,10,0,40,0,36,88","0,1,0,0,0,0,0,0,12,1","78,100,36,50,45,100,95,100,50,72","10,1,4,20,0,15,10,0,33,0","0,0,2,0,0,0,0,0,1,0"
"Be arrogant","17,0,88,75,38,22,8,100,42","41,31,85,70,42,31,20,92,29","59,3,87,71,19,25,30,86,49","10,9,8,45,15,40,10,0","32,0,54,10,28,28,4,82,29","85,0,94,81,63,32,25,81,36","7,43,68,85,71,38,25,100,69","87,38,96,52,83,22,25,100,47","82,64,79,40,63,32,20,78,66","47,0,83,43,31,23,10,28,56","22,53,81,46,34,25,10,100,50","55,35,79,70,9,25,6,68,52","36,0,72,10,91,30,10,61,77","73,5,69,41,75,21,20,100,41","23,3,84,41,42,31,10,100,63","21,16,55,70,71,35,5,100,17","33,0,61,15,68,21,5,48,23","16,0,66,10,32,9,10,62,48","66,0,86,50,5,16,10,71,66","38,0,69,10,1,6,1,63,45","19,0,78,50,16,22,1,29,55","43,0,86,10,30,24,0,89,50","57,0,59,70,59,28,10,21,40","0,70,19,62,28,37","17,0,68,10,86,31,4,100,29","5,41,15,66,55,34","39,1,5,93,5,4,100,0,52,8,73,4,78,0,0,0,0,3,23,18,41,0,0,100,3,2,9,50,32,14,18,87,100,12,10,0,42,16,78,0,38,0,12,63,31,4,0,73,12,0,0,0,39,7,84,0,2,0,31,88,53,0","0,41,37,66,78,39","20,57,5,83,75,36","46,59,82,35,0,44,15,87,64","5,20,0,69,3,18,100,0,22,3,70,4,61,0,0,0,10,1,5,4,42,20,0,100,7,0,11,59,20,0,2,95,100,4,3,0,69,48,37,1,31,0,12,76,24,11,0,46,9,0,0,5,47,21,52,35,4,0,31,99,76,100","56,3,68,65,18,32,28,98,42","28,0,64,31,67,22,10,59,51","85,0,78,60,93,33,25,87,52","23,48,90,80,82,43,30,92,53","38,4,75,50,51,16,5,68,62","19,0,85,30,57,10,0,92,60","66,24,53,51,83,10,3,45,45","14,0,63,32,2,16,5,60,16","6,0,64,8,78,18,5,59,53"
"Be jealous","0,20,60,71,34,3,14,4,0,0","61,20,80,13,38,18,7,68,8,70","70,95,60,30,59,58,63,90,27,58","32,97,16,14,25,35,59,45","100,5,80,36,49,64,37,90,0,66","91,40,80,60,61,94,30,95,80,31","49,50,0,27,15,3,10,15,0,33","71,60,80,29,58,35,15,10,25,35","100,65,60,27,50,6,60,90,20,35","70,3,80,49,48,3,27,1,17,30","80,46,75,6,72,36,81,28,0,58","100,20,80,100,54,27,26,50,9,65","100,80,40,44,39,2,10,54,2,28","81,65,40,18,52,7,81,73,10,54","61,20,20,46,19,1,16,17,0,28","70,40,70,51,50,75,82,62,60,20","79,85,40,37,63,26,8,53,19,55","1,35,50,39,38,3,0,47,0,24","100,15,90,60,54,51,56,76,50,44","0,2,0,50,18,55,1,10,0,45","80,70,50,80,36,8,21,27,10,11","1,0,20,16,52,4,5,6,0,33","20,20,70,45,33,97,3,3,0,22","76,87,85,94,54,95","1,10,60,44,34,2,8,2,0,44","60,33,70,6,45,66","81,12,17,57,79,45,100,53,33,16,63,0,55,0,0,0,60,12,13,29,50,3,0,100,3,15,67,64,26,16,7,85,99,17,9,7,85,0,89,2,55,0,13,69,20,24,48,64,24,9,0,44,64,14,75,100,7,0,77,85,50,0","30,8,18,26,2,16","100,50,8,75,5,7","81,40,90,38,51,99,88,63,0,14","48,3,24,86,60,35,100,2,30,0,39,0,59,0,10,0,40,15,16,54,5,12,86,100,5,11,40,50,17,0,8,83,99,5,14,29,79,11,33,1,52,21,11,73,72,26,24,62,11,0,55,16,75,13,85,62,3,0,100,57,52,100","100,85,80,31,58,81,84,41,27,9","60,15,60,73,46,2,26,20,0,3","61,90,80,37,74,1,71,99,0,41","100,40,90,45,31,90,26,69,0,36","1,10,30,22,56,22,0,42,0,41","0,10,80,18,0,24,0,29,0,0","100,90,40,38,40,4,39,83,0,61","31,10,50,58,31,4,5,0,0,20","0,20,40,28,25,3,10,7,0,39"
"Be lazy","0,7,0,41,2,0,0,3,0,8","0,8,0,2,0,0,0,18,0,13","51,13,70,30,47,5,9,99,19,30","34,3,0,24,15,91,5,0","0,11,80,46,11,0,0,30,1,10","75,29,10,68,10,4,0,29,0,11","0,43,0,3,18,0,0,49,0,11","0,13,60,5,3,0,2,51,0,29","0,46,10,50,48,1,8,43,49,66","50,14,0,5,6,0,0,14,6,66","100,10,10,3,41,0,0,21,0,15","0,82,60,40,1,98,0,91,40,93","0,15,60,5,11,89,0,91,7,77","80,65,100,58,45,0,2,71,30,29","0,15,40,5,11,0,6,50,0,12","40,19,80,10,7,5,2,30,6,56","50,55,80,3,45,2,0,27,35,26","0,24,0,17,7,0,7,11,1,5","0,29,10,4,4,0,21,18,0,16","0,51,0,6,3,2,6,77,0,22","50,27,80,5,3,3,0,37,34,26","100,70,90,34,15,5,11,10,34,22","100,82,100,45,23,3,76,29,88,47","52,19,40","50,88,0,2,86,0,0,97,0,76","44,16,10","60,8,0,83,5,9,0,13,33,0,0,12,64,0,0,0,0,2,16,32,42,1,0,100,5,0,3,58,21,21,18,90,99,12,1,0,0,0,45,0,39,0,12,76,58,0,0,74,11,0,0,0,15,19,79,0,11,0,38,76,63,0","51,12,40","53,28,15","0,14,0,5,1,0,0,12,0,15","17,11,3,21,2,36,0,5,23,0,13,10,51,0,0,5,5,6,12,59,49,2,0,100,7,0,2,51,30,0,2,90,100,18,2,0,29,58,37,2,49,0,14,75,57,0,7,58,14,0,0,5,13,30,79,68,16,0,50,59,49,100","0,45,55,4,4,0,0,41,1,13","0,5,80,3,13,0,0,19,0,12","50,95,100,35,98,0,6,73,73,89","100,94,100,54,7,5,9,91,15,84","100,100,100,83,49,60,0,18,42,43","0,0,0,35,7,0,0,0,5,5","100,51,100,70,19,1,0,24,60,42","0,6,0,3,3,0,6,21,0,4","100,19,0,5,6,0,5,33,0,3"
